Mic 11 frequency correction (w/o free field correction)
Frequency	Final correction
61	3.60
65	3.20
69	3.00
73	2.70
77	2.40
82	2.10
87	1.80
92	1.60
97	1.20
103	1.10
109	1.00
115	0.80
122	0.70
130	0.50
137	0.30
145	0.20
154	0.10
163	0.10
173	0.00
183	-0.10
194	-0.10
205	-0.20
218	-0.30
230	-0.50
244	-0.30
259	-0.50
274	-0.50
290	-0.50
307	-0.50
325	-0.39
345	-0.39
365	-0.49
387	-0.59
410	-0.59
434	-0.59
460	-0.68
487	-0.58
516	-0.58
546	-0.47
579	-0.17
613	-0.16
649	-0.16
688	-0.05
729	0.05
772	0.16
818	0.07
866	-0.12
917	-0.11
972	-0.01
1029	0.10
1090	-0.08
1155	-0.07
1223	0.24
1296	0.26
1372	-0.43
1454	-1.31
1540	-0.49
1631	0.83
1728	3.45
1830	3.38
1939	2.31
2054	-0.06
2175	-0.82
2304	0.11
2441	0.75
2585	1.50
2738	1.96
2901	1.92
3073	0.98
3255	0.35
3447	-2.28
3652	-2.99
3868	-1.89
4097	-2.28
4340	-2.96
4597	-4.14
4870	-5.00
5158	-4.45
5464	-4.08
5788	-3.61
6131	-1.82
6494	-1.41
6879	-2.18
7286	-5.41
7718	-8.79
8175	-11.63
8660	-10.45
9173	-10.03
9716	-8.83
10292	-5.19
10902	-7.02
11548	-14.06
12232	-12.20
12957	-15.43
13725	-22.98
14538	-13.93
15399	-15.88
16312	-17.15
17278	-17.21
18302	-19.15
19387	-19.56
